ZINC000000032944	-29.332920
ZINC000000044151	-29.588314
ZINC000000045092	-32.872780
ZINC000000048883	-36.254173
ZINC000000049387	-35.759239
ZINC000000052950	-33.475914
ZINC000000060978	-24.200470
ZINC000000062204	-28.566578
ZINC000000067140	-30.731380
ZINC000000067544	-31.178858
ZINC000000077039	-32.797977
ZINC000000078561	-34.789455
ZINC000000079754	-40.012714
ZINC000000084628	-35.590408
ZINC000000085380	-43.750492
ZINC000000089186	-32.157894
ZINC000000096377	-34.416142
ZINC000000099741	-31.107452
ZINC000000105564	-27.475222
ZINC000000106803	-26.017708
ZINC000000108448	-31.959686
ZINC000000108577	-33.653534
ZINC000000111320	-38.418346
ZINC000000111672	-34.833107
ZINC000000121604	-28.906586
ZINC000000123352	-31.336113
ZINC000000128024	-40.467888
ZINC000000130859	-43.841652
ZINC000000147849	-20.365505
ZINC000000154243	-20.807442
ZINC000000168579	-36.748672
ZINC000000171370	-37.292091
ZINC000000174917	-29.779545
ZINC000000186758	-35.181938
ZINC000000186785	-38.076748
ZINC000000195600	-33.823124
ZINC000000198056	-32.069962
ZINC000000198717	-32.857021
ZINC000000199226	-40.348030
ZINC000000200073	-33.380875
ZINC000000202830	-36.661125
ZINC000000208338	-28.090193
ZINC000000211014	-38.414112
ZINC000000212001	-22.264784
ZINC000000215383	-28.060619
ZINC000000216096	-29.604486
ZINC000000224674	-31.093204
ZINC000000236376	-33.645897
ZINC000000254324	-21.126102
ZINC000000259013	-37.761078
ZINC000000262812	-20.118423
ZINC000000272761	-44.295773
ZINC000000280509	-25.871138
ZINC000000284240	-23.792336
ZINC000000286085	-26.898087
ZINC000000287049	-34.945152
ZINC000000290158	-45.823074
ZINC000000293090	-26.430977
ZINC000000312147	-33.285820
ZINC000000333239	-32.434967
ZINC000000337304	-30.877401
ZINC000000341037	-24.659092
ZINC000000356867	-34.943417
ZINC000000373598	-22.010235
ZINC000000383969	-31.194729
ZINC000000385156	-34.176517
ZINC000000386044	-31.015999
ZINC000000389404	-47.697750
ZINC000000391055	-28.964266
ZINC000000401000	-30.119785
ZINC000000404538	-31.816483
ZINC000000405442	-28.351152
ZINC000000405507	-33.834591
ZINC000000406753	-34.070705
